baker,full_name,series,episode,technical,result,baker_age,baker_occupation,hometown,signature_bake,show_stopper
Tamal,Tamal Ray,6,5,7,IN,29,Trainee anaesthetist,Manchester,Honey and Grapefruit Polenta Cake,Passion Fruit and Pineapple Ice Cream Roll
Ugnė,Ugnė Bubnaityte,6,5,6,OUT,32,PA and administrator,"Woodford, London / Vilkaviškis, Lithuania",Chocolate and Hazelnut Sugar-Free Cake,"Chocolate, Peanut Butter and Grape Jam Roll"
Nadiya,Nadiya Hussain,6,5,1,STAR BAKER,30,Full-time mother,Leeds / Luton,Naked Blueberry and Caraway Crunch Cake,Chocolate and Strawberry Lime Ice Cream Roll
Dorret,Dorret Conway,6,5,NA,NA,53,Accountant,"Penwortham, Lancashire",NA,NA
Marie,Marie Campbell,6,5,NA,NA,66,Retired,"Auchterarder, Perthshire",NA,NA
Sandy,Sandy Docherty,6,5,NA,NA,49,Child welfare officer,"Yeadon, West Yorkshire",NA,NA
Stu,Stu Henshall,6,5,NA,NA,35,Professional musician,"Guildford, Surrey",NA,NA
Flora,Flora Shedden,6,6,2,IN,19,Art gallery assistant,"Dunkeld, Perth and Kinross",Apricot and Rosemary Frangipane Tart,Asparagus and Parma Ham and Praline and Chocolate Vol-au-vents
Ian,Ian Cumming,6,6,3,IN,41,Travel photographer,"Great Wilbraham, Cambridgeshire",Pear and Raspberry Frangipane Tart,vol-au-vents Terre et Mer
Nadiya,Nadiya Hussain,6,6,4,IN,30,Full-time mother,Leeds / Luton,"Bay Leaf, Rong Tea and Pear Tart",Bengali Korma and Clementine with Cod Vol-au-vents
Paul,Paul Jagger,6,6,5,IN,49,Prison governor,"Swansea, Wales",Christmas Frangipane Tart,Savoury and Sweet Bouchées
Tamal,Tamal Ray,6,6,7,IN,29,Trainee anaesthetist,Manchester,Spiced Pear Frangipane Tart,Fennel and Rosemary Pulled Pork and Chicken and Coriander vol-au-vents
Alvin,Alvin Magallanes,6,6,6,OUT,37,Nurse,"Bracknell, Berkshire",Plum Frangipane Tart,Smoked Salmon En Croûte and Vermouth Chicken à la King Vol-au-vents
Mat,Mat Riley,6,6,1,STAR BAKER,37,Fire fighter,London,Piña Colada Frangipane Tart,His 'n' Hers Vol-au-vents
Dorret,Dorret Conway,6,6,NA,NA,53,Accountant,"Penwortham, Lancashire",NA,NA
Marie,Marie Campbell,6,6,NA,NA,66,Retired,"Auchterarder, Perthshire",NA,NA
Sandy,Sandy Docherty,6,6,NA,NA,49,Child welfare officer,"Yeadon, West Yorkshire",NA,NA
Stu,Stu Henshall,6,6,NA,NA,35,Professional musician,"Guildford, Surrey",NA,NA
Ugnė,Ugnė Bubnaityte,6,6,NA,NA,32,PA and administrator,"Woodford, London / Vilkaviškis, Lithuania",NA,NA
Flora,Flora Shedden,6,7,4,IN,19,Art gallery assistant,"Dunkeld, Perth and Kinross",Game Pie with Shallot and Apple Chutney,"Raspberry, Pomegranate and Champagne Charlotte Russe"
Ian,Ian Cumming,6,7,5,IN,41,Travel photographer,"Great Wilbraham, Cambridgeshire",Roadkill Pie,Victoria's Crown Charlotte Russe
Nadiya,Nadiya Hussain,6,7,1,IN,30,Full-time mother,Leeds / Luton,Aromatic Raised Game Pie,Mango and Raspberry Charlotte Russe
Paul,Paul Jagger,6,7,2,IN,49,Prison governor,"Swansea, Wales",Not a Boaring Pie,Charlotte Rose
Mat,Mat Riley,6,7,6,OUT,37,Fire fighter,London,Raised Venison and Pigeon Pie,Strawberry Charlotte Russe
Tamal,Tamal Ray,6,7,3,STAR BAKER,29,Trainee anaesthetist,Manchester,Middle Eastern Game Pie,"Spiced Blackberry, Raspberry and Cardamom Charlotte Russe"
Alvin,Alvin Magallanes,6,7,NA,NA,37,Nurse,"Bracknell, Berkshire",NA,NA
Dorret,Dorret Conway,6,7,NA,NA,53,Accountant,"Penwortham, Lancashire",NA,NA
Marie,Marie Campbell,6,7,NA,NA,66,Retired,"Auchterarder, Perthshire",NA,NA
Sandy,Sandy Docherty,6,7,NA,NA,49,Child welfare officer,"Yeadon, West Yorkshire",NA,NA
Stu,Stu Henshall,6,7,NA,NA,35,Professional musician,"Guildford, Surrey",NA,NA
Ugnė,Ugnė Bubnaityte,6,7,NA,NA,32,PA and administrator,"Woodford, London / Vilkaviškis, Lithuania",NA,NA
Flora,Flora Shedden,6,8,3,IN,19,Art gallery assistant,"Dunkeld, Perth and Kinross",Peach & Lemon Thyme and Smoked Almond & Butterscotch Cream Horns,Lime & Basil and Coconut & White Chocolate Religieuse à l'ancienne
Ian,Ian Cumming,6,8,2,IN,41,Travel photographer,"Great Wilbraham, Cambridgeshire",Mont Blanc & Black Forest Gâteau Horns,Nun with Hidden Passions
Tamal,Tamal Ray,6,8,4,IN,29,Trainee anaesthetist,Manchester,Lime & Mascarpone and Malt Cream Horns,Passionfruit & Mango and Pistachio & Raspberry Religieuse à l'ancienne
Paul,Paul Jagger,6,8,5,OUT,49,Prison governor,"Swansea, Wales",Café Tipple & Banana Crunch-away Horns,Religieuse à l'ancienne
Nadiya,Nadiya Hussain,6,8,1,STAR BAKER,30,Full-time mother,Leeds / Luton,Rose Pistachio and Mocha Hazelnut Horns,Bubble Gum and Peppermint Cream Religieuse à l'ancienne
Alvin,Alvin Magallanes,6,8,NA,NA,37,Nurse,"Bracknell, Berkshire",NA,NA
Dorret,Dorret Conway,6,8,NA,NA,53,Accountant,"Penwortham, Lancashire",NA,NA
Marie,Marie Campbell,6,8,NA,NA,66,Retired,"Auchterarder, Perthshire",NA,NA
Mat,Mat Riley,6,8,NA,NA,37,Fire fighter,London,NA,NA
Sandy,Sandy Docherty,6,8,NA,NA,49,Child welfare officer,"Yeadon, West Yorkshire",NA,NA
Stu,Stu Henshall,6,8,NA,NA,35,Professional musician,"Guildford, Surrey",NA,NA
Ugnė,Ugnė Bubnaityte,6,8,NA,NA,32,PA and administrator,"Woodford, London / Vilkaviškis, Lithuania",NA,NA
Ian,Ian Cumming,6,9,3,IN,41,Travel photographer,"Great Wilbraham, Cambridgeshire",Chocolate and Bay Tart,Chocolate Well
Tamal,Tamal Ray,6,9,2,IN,29,Trainee anaesthetist,Manchester,Chocolate New York Pie,Chocolate Bell Tower
Flora,Flora Shedden,6,9,1,OUT,19,Art gallery assistant,"Dunkeld, Perth and Kinross",Passion Fruit and Chocolate Tart,Cocoa Carousel
Nadiya,Nadiya Hussain,6,9,4,STAR BAKER,30,Full-time mother,Leeds / Luton,Peanut Salted Caramel and Chocolate Tart,Peacock in Nan's Door
Alvin,Alvin Magallanes,6,9,NA,NA,37,Nurse,"Bracknell, Berkshire",NA,NA
Dorret,Dorret Conway,6,9,NA,NA,53,Accountant,"Penwortham, Lancashire",NA,NA
Marie,Marie Campbell,6,9,NA,NA,66,Retired,"Auchterarder, Perthshire",NA,NA
Mat,Mat Riley,6,9,NA,NA,37,Fire fighter,London,NA,NA
Paul,Paul Jagger,6,9,NA,NA,49,Prison governor,"Swansea, Wales",NA,NA
Sandy,Sandy Docherty,6,9,NA,NA,49,Child welfare officer,"Yeadon, West Yorkshire",NA,NA
Stu,Stu Henshall,6,9,NA,NA,35,Professional musician,"Guildford, Surrey",NA,NA
Ugnė,Ugnė Bubnaityte,6,9,NA,NA,32,PA and administrator,"Woodford, London / Vilkaviškis, Lithuania",NA,NA
Ian,Ian Cumming,6,10,2,Runner-up,41,Travel photographer,"Great Wilbraham, Cambridgeshire",Elderflower and Lemon & Spiced Buns,Colossal Curvy Carrot Cake
Tamal,Tamal Ray,6,10,3,Runner-up,29,Trainee anaesthetist,Manchester,Cinnamon and Apple & Toffee and Marmalade Iced Buns,Sticky Toffee Pudding Cake
Nadiya,Nadiya Hussain,6,10,1,WINNER,30,Full-time mother,Leeds / Luton,Cardamom and Almond Buns & Nutmeg and Sour Cherry Fingers,My Big Fat British Wedding Cake
Alvin,Alvin Magallanes,6,10,NA,NA,37,Nurse,"Bracknell, Berkshire",NA,NA
Dorret,Dorret Conway,6,10,NA,NA,53,Accountant,"Penwortham, Lancashire",NA,NA
Flora,Flora Shedden,6,10,NA,NA,19,Art gallery assistant,"Dunkeld, Perth and Kinross",NA,NA
Marie,Marie Campbell,6,10,NA,NA,66,Retired,"Auchterarder, Perthshire",NA,NA
Mat,Mat Riley,6,10,NA,NA,37,Fire fighter,London,NA,NA
Paul,Paul Jagger,6,10,NA,NA,49,Prison governor,"Swansea, Wales",NA,NA
Sandy,Sandy Docherty,6,10,NA,NA,49,Child welfare officer,"Yeadon, West Yorkshire",NA,NA
Stu,Stu Henshall,6,10,NA,NA,35,Professional musician,"Guildford, Surrey",NA,NA
Ugnė,Ugnė Bubnaityte,6,10,NA,NA,32,PA and administrator,"Woodford, London / Vilkaviškis, Lithuania",NA,NA
Andrew,Andrew Smyth,7,1,12,IN,25,Aerospace engineer,"Derby / Holywood, County Down",Lemon and Rosemary Drizzle Cake,'Ultimate Indulgence' Mirror Glaze Cake
Benjamina,Benjamina Ebuehi,7,1,6,IN,23,Teaching assistant,South London,"Pistachio, Cardamom and Lemon Drizzle Cake",White Chocolate Mirror Glaze with Salted Praline Buttercream
Candice,Candice Brown,7,1,5,IN,31,PE teacher,"Barton-Le-Clay, Bedfordshire",Raspberry and Rhubarb Drizzle Custard Bundt Cake,"Mirror Mirror On The Wall, Who Is The Shiniest Cake Of Them All?"
Kate,Kate Barmby,7,1,4,IN,37,Nurse,"Brooke, Norfolk",Berry Best Apple and Bramble Drizzle Cake,One Swallow Does Not Make A Summer Cake
Louise,Louise Williams,7,1,9,IN,46,Hairdresser,Cardiff,Orange Liqueur and Lemonade Drizzle Cake,White Chocolate Trifle Mirror Glaze Cake
Michael,Michael Georgiou,7,1,3,IN,20,Student,Durham,"Lime, Ginger and Honey Drizzle Cake",Matcha Tea Chocolate Mirror Glaze
Rav,Rav Bansal,7,1,8,IN,28,Student support,Erith,Ginger Spice Yuzu Drizzle Cake,Colombian Mocha Mirror Glaze Cake
Selasi,Selasi Gbormittah,7,1,1,IN,30,Client service associate,London,Citrus and Spice Drizzle Cake,"Raspberry, Sloe and White Chocolate Mirror Glaze Cake"
Tom,Tom Gilliford,7,1,2,IN,26,Project engagement manager,Rochdale,G&T Drizzle Cake,Black Forest Broken Mirror
Val,Val Stones,7,1,10,IN,66,"Semi-retired, Substitute teacher",Yeovil,Mum's Orange and Lemon Drizzle,Chocolate Sponge with Four Fruit Frosting
Lee,Lee Banfield,7,1,11,OUT,67,Pastor,Bolton,St. Clements Orange and Lemon Drizzle Cake,Strawberry Surprise Mirror Cake
Jane,Jane Beedle,7,1,7,STAR BAKER,61,Garden designer,Beckenham,Lemon and Poppy Seed Drizzle Cake,Chocolate Orange Mirror Cake
Andrew,Andrew Smyth,7,2,4,IN,25,Aerospace engineer,"Derby / Holywood, County Down",Beehive Biscuits,Punting in Cambridge
Benjamina,Benjamina Ebuehi,7,2,3,IN,23,Teaching assistant,South London,Bouquet Biscuits,"New York, New York"
Jane,Jane Beedle,7,2,2,IN,61,Garden designer,Beckenham,Flower Pot Iced Biscuits,Hastings Old Town Fishing Net Shops and Boat
Kate,Kate Barmby,7,2,1,IN,37,Nurse,"Brooke, Norfolk","""A Biscuit for the Broads""","""I Promise I will do my best"""
Michael,Michael Georgiou,7,2,9,IN,20,Student,Durham,"Malt, Chocolate and Orange Iced ""Beer"" Biscuits",Trip to See Santa in Lapland
Rav,Rav Bansal,7,2,6,IN,28,Student support,Erith,Union Jack Bunting Biscuits,Gingerbread Christmas Fairground
Selasi,Selasi Gbormittah,7,2,11,IN,30,Client service associate,London,"""Wheelie Hot Iced Biscuits""",Stained Glass Window Gingerbread Church
Tom,Tom Gilliford,7,2,7,IN,26,Project engagement manager,Rochdale,Chai Frappelatteccino Biscuits,Tom and Pod's Near Death Experience
Val,Val Stones,7,2,5,IN,66,"Semi-retired, Substitute teacher",Yeovil,Sunday Treat Iced Ice Cream Cone Biscuits,From Holland to New York via Yorkshire
Louise,Louise Williams,7,2,10,OUT,46,Hairdresser,Cardiff,Baa Bara Brith Biscuits,Gingerbread Wedding
Candice,Candice Brown,7,2,8,STAR BAKER,31,PE teacher,"Barton-Le-Clay, Bedfordshire","Salted Caramel, Chocolate Iced Shiny Hearts",Gingerbread Pub with Sticky Ginger Carpet
Lee,Lee Banfield,7,2,NA,NA,67,Pastor,Bolton,NA,NA
Andrew,Andrew Smyth,7,3,2,IN,25,Aerospace engineer,"Derby / Holywood, County Down",Chocolate Barmbrack Bread,Braided Harvest Bread Basket
Benjamina,Benjamina Ebuehi,7,3,6,IN,23,Teaching assistant,South London,"Chocolate, Tahini and Almond Babka",Braided Bread Heart
Candice,Candice Brown,7,3,3,IN,31,PE teacher,"Barton-Le-Clay, Bedfordshire","Chocolate, Salted Caramel & Pecan Brittle Brioche Loaf",Italian Light and Dark Rye Twist
Jane,Jane Beedle,7,3,9,IN,61,Garden designer,Beckenham,Chocolate and Cranberry Couronne,Chorizo and Chilli Flower with Parmesan and Pesto Centre
Kate,Kate Barmby,7,3,8,IN,37,Nurse,"Brooke, Norfolk",Cobbled Loaf,The Corn Maiden
Rav,Rav Bansal,7,3,10,IN,28,Student support,Erith,"Chocolate, Cardamom and Hazelnut Loaf",Three Tier Diwali Bread Centrepiece
Selasi,Selasi Gbormittah,7,3,5,IN,30,Client service associate,London,"Chocolate, Orange and Cinnamon Bread",Bedouin Escape Tear and Share Bread
Val,Val Stones,7,3,1,IN,66,"Semi-retired, Substitute teacher",Yeovil,Double Chocolate Cinnamon Twist Loaf,"""And They All Went Into The Ark To Get Out Of The Rain"""
Michael,Michael Georgiou,7,3,7,OUT,20,Student,Durham,Chocolate and Chilli Swirl Plait,Cypriot Dove and Olive Branch Plaited Loaf with Houmous
Tom,Tom Gilliford,7,3,4,STAR BAKER,26,Project engagement manager,Rochdale,Chocolate Orange and Chilli Swirl Bread,Jörmungandr and Mjölnir
Lee,Lee Banfield,7,3,NA,NA,67,Pastor,Bolton,NA,NA
Louise,Louise Williams,7,3,NA,NA,46,Hairdresser,Cardiff,NA,NA
Andrew,Andrew Smyth,7,4,4,IN,25,Aerospace engineer,"Derby / Holywood, County Down",Yorkshire 'Tapas' Puddings,Churros Window Box
Candice,Candice Brown,7,4,2,IN,31,PE teacher,"Barton-Le-Clay, Bedfordshire",Yorkshire Wellingtons,Two-Way Peanut Butter Churros
Jane,Jane Beedle,7,4,3,IN,61,Garden designer,Beckenham,Meat and Two Veg Yorkshires,Pistachio and White Chocolate Churros
Rav,Rav Bansal,7,4,9,IN,28,Student support,Erith,Thai Tofu Panang Yorkshires,Three Dip Matcha Pistachio Churros
Selasi,Selasi Gbormittah,7,4,8,IN,30,Client service associate,London,Perfect Sunday Roast Accompaniment,Lemon and Anise Churros
Tom,Tom Gilliford,7,4,5,IN,26,Project engagement manager,Rochdale,West Yorkshire Fusion Puddings,Fennel Churros Snake In The Grass
Val,Val Stones,7,4,6,IN,66,"Semi-retired, Substitute teacher",Yeovil,Mum's Chilli Yorkshire Puddings,Orange Chocolate Churros
Kate,Kate Barmby,7,4,7,OUT,37,Nurse,"Brooke, Norfolk",Christmas Dinner Compromise,Hot Cross Bunny Churros
Benjamina,Benjamina Ebuehi,7,4,1,STAR BAKER,23,Teaching assistant,South London,"Red Onion Chutney, Brie and Bacon Yorkshire Puddings",Tropical Churros
Lee,Lee Banfield,7,4,NA,NA,67,Pastor,Bolton,NA,NA
Louise,Louise Williams,7,4,NA,NA,46,Hairdresser,Cardiff,NA,NA
Michael,Michael Georgiou,7,4,NA,NA,20,Student,Durham,NA,NA
Andrew,Andrew Smyth,7,5,6,IN,25,Aerospace engineer,"Derby / Holywood, County Down",Mum and Dad's Breakfast Pastries,Spicy Chorizo Squash Parcels and Baklava Bites
Benjamina,Benjamina Ebuehi,7,5,5,IN,23,Teaching assistant,South London,'Good Morning America' Swirls and Peanut Butter and Banana Pinwheels,Plantain and Spinach Samosas and Chai Pear Cups
Jane,Jane Beedle,7,5,1,IN,61,Garden designer,Beckenham,"Orange Pain au Raisins, Raspberry, Chocolate and Almond Danish","Roquefort, Fig and Walnut Parcels and Cherry and Chocolate Cones"
Rav,Rav Bansal,7,5,8,IN,28,Student support,Erith,"Cinnamon Swirls and Pecan, Walnut and Maple Plaits",Chinese Style Prawn Filo Tartlets and Spiced White Chocolate and Hazelnut Samosas
Selasi,Selasi Gbormittah,7,5,3,IN,30,Client service associate,London,"Rhubarb, Mango and Ginger Plait, and Pineapple and Coconut Pinwheels","Parma Ham, Asparagus and Cheese Filo Cigars and Coffee Cream Filo Cups"
Tom,Tom Gilliford,7,5,4,IN,26,Project engagement manager,Rochdale,Mega Breakfast Bonanzas; Granola Spirals and Wheat Foldovers,Yin and Yang Amuse-bouche
Val,Val Stones,7,5,7,OUT,66,"Semi-retired, Substitute teacher",Yeovil,"Pecan and Maple Syrup Pinwheels and Apple, Sultana and Cinnamon Swirls","Caramelised Red Onion, Goats Cheese Tartlets and Mincemeat and Apple Spiced Parcels"
Candice,Candice Brown,7,5,2,STAR BAKER,31,PE teacher,"Barton-Le-Clay, Bedfordshire","Danish Pastry Croque Monsieur Kites and Cinnamon Apple, Vanilla Crème Rose Danish","Sausage, Black Pudding and Apple Rounds and Banoffee Whiskey Cups"
Kate,Kate Barmby,7,5,NA,NA,37,Nurse,"Brooke, Norfolk",NA,NA
Lee,Lee Banfield,7,5,NA,NA,67,Pastor,Bolton,NA,NA
Louise,Louise Williams,7,5,NA,NA,46,Hairdresser,Cardiff,NA,NA
Michael,Michael Georgiou,7,5,NA,NA,20,Student,Durham,NA,NA
Andrew,Andrew Smyth,7,6,6,IN,25,Aerospace engineer,"Derby / Holywood, County Down",Tangy Lime and Ginger Meringue Pie,Spring Elderflower Trio
Benjamina,Benjamina Ebuehi,7,6,2,IN,23,Teaching assistant,South London,Grapefruit and Ginger Meringue Pie,Floral Tea Cake
Candice,Candice Brown,7,6,5,IN,31,PE teacher,"Barton-Le-Clay, Bedfordshire","Lime, Coconut and Lemongrass Sugar Meringue Pie",Four Seasons Cake
Jane,Jane Beedle,7,6,4,IN,61,Garden designer,Beckenham,Lime and Coconut Meringue Pie,Three Tier Orange Cake with a Floral Chocolate Collar
Selasi,Selasi Gbormittah,7,6,7,IN,30,Client service associate,London,"Grapefruit, Orange and Mint Meringue Pie",Three Tiered Ombré Floral Cake
Rav,Rav Bansal,7,6,3,OUT,28,Student support,Erith,Mandarin Margarita Meringue Pie,Blossom Cake
Tom,Tom Gilliford,7,6,1,STAR BAKER,26,Project engagement manager,Rochdale,Blood Orange Halloween Pumpkin Pie,Floral Tea Cake
Kate,Kate Barmby,7,6,NA,NA,37,Nurse,"Brooke, Norfolk",NA,NA
Lee,Lee Banfield,7,6,NA,NA,67,Pastor,Bolton,NA,NA
Louise,Louise Williams,7,6,NA,NA,46,Hairdresser,Cardiff,NA,NA
Michael,Michael Georgiou,7,6,NA,NA,20,Student,Durham,NA,NA
Val,Val Stones,7,6,NA,NA,66,"Semi-retired, Substitute teacher",Yeovil,NA,NA
Benjamina,Benjamina Ebuehi,7,7,3,IN,23,Teaching assistant,South London,Piña Colada Roulade,Apple Crumble Mousse Cake and Chocolate Coffee Mousse Cake
Candice,Candice Brown,7,7,2,IN,31,PE teacher,"Barton-Le-Clay, Bedfordshire",Crowd Pleaser Roulade,Blackberry and Raspberry Bubbles and After Dinner Mousse
Jane,Jane Beedle,7,7,4,IN,61,Garden designer,Beckenham,Chocolate and Hazelnut Roulade,"Chocolate, Coffee, and Vanilla Joconde Cakes and Blackcurrant and Vanilla Ombre Mousses"
Selasi,Selasi Gbormittah,7,7,6,IN,30,Client service associate,London,Summer Picnic Roulade,"Lemon, Strawberry and Passionfruit and Chocolate and Mint Mini Mousse Cakes"
Tom,Tom Gilliford,7,7,5,OUT,26,Project engagement manager,Rochdale,Millionaire's Roulade,Hipster Picnic
Andrew,Andrew Smyth,7,7,1,STAR BAKER,25,Aerospace engineer,"Derby / Holywood, County Down",Tropical Holiday Roulade,Childhood Ice Cream Mousse Cakes
Kate,Kate Barmby,7,7,NA,NA,37,Nurse,"Brooke, Norfolk",NA,NA
Lee,Lee Banfield,7,7,NA,NA,67,Pastor,Bolton,NA,NA
Louise,Louise Williams,7,7,NA,NA,46,Hairdresser,Cardiff,NA,NA
Michael,Michael Georgiou,7,7,NA,NA,20,Student,Durham,NA,NA
Rav,Rav Bansal,7,7,NA,NA,28,Student support,Erith,NA,NA
Val,Val Stones,7,7,NA,NA,66,"Semi-retired, Substitute teacher",Yeovil,NA,NA
Andrew,Andrew Smyth,7,8,2,IN,25,Aerospace engineer,"Derby / Holywood, County Down",Da Vinci Inspired Geared Pies,Jousting Knights Marchpane
Jane,Jane Beedle,7,8,5,IN,61,Garden designer,Beckenham,Tudor Rose Pies,Swans
Selasi,Selasi Gbormittah,7,8,3,IN,30,Client service associate,London,Bouquet of Flowers,Fruity Tudor Marchpane
Benjamina,Benjamina Ebuehi,7,8,4,OUT,23,Teaching assistant,South London,Mexican Adventure,Tudor Garden
Candice,Candice Brown,7,8,1,STAR BAKER,31,PE teacher,"Barton-Le-Clay, Bedfordshire",Cheesy Cheeky Fish Pies,Peacock
Kate,Kate Barmby,7,8,NA,NA,37,Nurse,"Brooke, Norfolk",NA,NA
Lee,Lee Banfield,7,8,NA,NA,67,Pastor,Bolton,NA,NA
Louise,Louise Williams,7,8,NA,NA,46,Hairdresser,Cardiff,NA,NA
Michael,Michael Georgiou,7,8,NA,NA,20,Student,Durham,NA,NA
Rav,Rav Bansal,7,8,NA,NA,28,Student support,Erith,NA,NA
Tom,Tom Gilliford,7,8,NA,NA,26,Project engagement manager,Rochdale,NA,NA
Val,Val Stones,7,8,NA,NA,66,"Semi-retired, Substitute teacher",Yeovil,NA,NA
Candice,Candice Brown,7,9,3,IN,31,PE teacher,"Barton-Le-Clay, Bedfordshire","Red Onion, Cambozola and Walnut Palmiers and Mushroom, Streaky Bacon, and Parmesan Palmiers",Chocolate Praline Fondant Fancies and Cherry Bakewell Fondant Fancies
Jane,Jane Beedle,7,9,1,IN,61,Garden designer,Beckenham,"Pesto and Sundried Tomato Palmiers and Goats Cheese, Olive and Parma Ham Palmiers",Pistachio and Raspberry Fondant Fancies and Lemon Curd Surprise Fondant Fancies
Selasi,Selasi Gbormittah,7,9,4,OUT,30,Client service associate,London,"Sundried Tomato, Onion, Peppers and Parmesan Palmiers and Salmon, Spinach and Mushroom Palmiers",Lime and Ginger Fondant Fancies and Pink Velvet and Raspberry Prosecco Fondant Fancies
Andrew,Andrew Smyth,7,9,2,STAR BAKER,25,Aerospace engineer,"Derby / Holywood, County Down",Cheesy Elephant Ears and Herby Treble Clefs,Philharmonic Fondants
Benjamina,Benjamina Ebuehi,7,9,NA,NA,23,Teaching assistant,South London,NA,NA
Kate,Kate Barmby,7,9,NA,NA,37,Nurse,"Brooke, Norfolk",NA,NA
Lee,Lee Banfield,7,9,NA,NA,67,Pastor,Bolton,NA,NA
Louise,Louise Williams,7,9,NA,NA,46,Hairdresser,Cardiff,NA,NA
Michael,Michael Georgiou,7,9,NA,NA,20,Student,Durham,NA,NA
Rav,Rav Bansal,7,9,NA,NA,28,Student support,Erith,NA,NA
Tom,Tom Gilliford,7,9,NA,NA,26,Project engagement manager,Rochdale,NA,NA
Val,Val Stones,7,9,NA,NA,66,"Semi-retired, Substitute teacher",Yeovil,NA,NA
Andrew,Andrew Smyth,7,10,1,Runner-up,25,Aerospace engineer,"Derby / Holywood, County Down",Crunchy Caramel Cassis Crown,Family and Friends' Favourites Picnic
Jane,Jane Beedle,7,10,3,Runner-up,61,Garden designer,Beckenham,"Red, White and Blue Meringue Crown",Family Favourites Feast
Candice,Candice Brown,7,10,2,WINNER,31,PE teacher,"Barton-Le-Clay, Bedfordshire",Queen Victoria's Mango and Strawberry Crown,Picnic for Pearly Kings and Queens
Benjamina,Benjamina Ebuehi,7,10,NA,NA,23,Teaching assistant,South London,NA,NA
Kate,Kate Barmby,7,10,NA,NA,37,Nurse,"Brooke, Norfolk",NA,NA
Lee,Lee Banfield,7,10,NA,NA,67,Pastor,Bolton,NA,NA
Louise,Louise Williams,7,10,NA,NA,46,Hairdresser,Cardiff,NA,NA
Michael,Michael Georgiou,7,10,NA,NA,20,Student,Durham,NA,NA
Rav,Rav Bansal,7,10,NA,NA,28,Student support,Erith,NA,NA
Selasi,Selasi Gbormittah,7,10,NA,NA,30,Client service associate,London,NA,NA
Tom,Tom Gilliford,7,10,NA,NA,26,Project engagement manager,Rochdale,NA,NA
Val,Val Stones,7,10,NA,NA,66,"Semi-retired, Substitute teacher",Yeovil,NA,NA
Chris,Chris Geiger,8,1,12,IN,50,Software developer,Bristol,Tropical Fresh Fruit Cake,'Raised Pork Pie and Egg Surprise' Cake
Flo,Flo Atkins,8,1,9,IN,71,Retired,Merseyside,Citrus Layer Cake,'One in a Melon' Cake
James,James Hillery,8,1,2,IN,46,Banker,"Brentwood, Essex","Orange, Rhubarb & Ginger Crumble Cake",'Mock-accino and Croissant' Cake
Julia,Julia Chernogorova,8,1,3,IN,21,Aviation Broker,"Crawley, West Sussex",Courgette and Lemon Cake,'Russian Doll' Cake
Kate,Kate Lyon,8,1,1,IN,29,Health and safety inspector,Merseyside,Moroccan Strawberry and Rose Cake,'Chocolate Terrarium' Cake
Liam,Liam Charles,8,1,8,IN,19,Student,North London,Apple and Almond Crumble Maple Loaf,'Stackin' Sunday' Cake
Sophie,Sophie Faldo,8,1,5,IN,33,Former army officer and trainee stuntwoman,"West Molesey, Surrey",Pineapple and Coconut Sandwich Cake,'Champagne Bottle and Bucket' Cake
Stacey,Stacey Hart,8,1,11,IN,42,Former school teacher,"Radlett, Hertfordshire",Granny Smith Apple and Walnut Cake,'Black Evening Clutch Bag' Cake
Tom,Tom Hetherington,8,1,7,IN,29,Architect,Edinburgh,Gilded Pear and Cardamom Cake,'Stack of Books' Cake
Yan,Yan Tsou,8,1,4,IN,46,Laboratory research scientist,North London,Windfall Apple Crumble Cake,'Banana-ramen' Cake
Peter,Peter Abatan,8,1,10,OUT,52,IT programme manager,"Southend, Essex",Coconut Cake,'Bread on a Breadboard' Cake
Steven,Steven Carter-Bailey,8,1,6,STAR BAKER,34,Marketer,"Watford, Hertfordshire",Bonfire Night Cake,'A Baker's Lunch' Cake
Flo,Flo Atkins,8,2,10,IN,71,Retired,Merseyside,Gin Jam Butties,'Pick My Bones' Game
James,James Hillery,8,2,3,IN,46,Banker,"Brentwood, Essex",Rhubarb and Custard Whirls,'Coppit' Game
Julia,Julia Chernogorova,8,2,4,IN,21,Aviation Broker,"Crawley, West Sussex",Middle Eastern Delight Sandwich Biscuits,'A British Baking' Game
Kate,Kate Lyon,8,2,8,IN,29,Health and safety inspector,Merseyside,Coconut Seashells for a Titanic Afternoon Tea,'Jungle' Game
Liam,Liam Charles,8,2,7,IN,19,Student,North London,Coffee Malted Pecan Shorties,'Classroom Classics' Game
Sophie,Sophie Faldo,8,2,2,IN,33,Former army officer and trainee stuntwoman,"West Molesey, Surrey",Lemon Limoncino Sandwich Biscuits,'Snakes and Ladders' Game
Stacey,Stacey Hart,8,2,9,IN,42,Former school teacher,"Radlett, Hertfordshire",Sparkly Chocolate and Marshmallow Fluff Cookies,'Get to School' Game
Tom,Tom Hetherington,8,2,5,IN,29,Architect,Edinburgh,Coffee and Amaretto Kisses,'Drain Pipes and Ladders' Game
Yan,Yan Tsou,8,2,1,IN,46,Laboratory research scientist,North London,'Mrs. Marian's PB 'n' B' Biscuits,'Adventures in Bakeland' Game
Chris,Chris Geiger,8,2,11,OUT,50,Software developer,Bristol,Chocolate Chia Seed Biscuits with Whisky Caramel Filling,'The Great British Sail Off' Game
